entity,facility,field,value,source_tier,filing_accession,source_quote
IREN,Hardware 3 DDTL,facility_size_usd,1500000000,primary_EDGAR,0001140361-26-023427,"approximately $1.5 billion delayed draw term loan facility (the DDTL) pursuant to a credit agreement among Hardware 3, as borrower"
IREN,Hardware 3 DDTL,rate_floating,term SOFR + 2.25% margin,primary_EDGAR,0001140361-26-023427,"Borrowings under the DDTL bear interest at a per annum rate equal to term SOFR plus a margin of 2.25%"
IREN,Hardware 3 DDTL,commitment_fee,0.40% per annum on undrawn,primary_EDGAR,0001140361-26-023427,"commitment fee of 0.40% per annum on the undrawn portion of the DDTL commitments"
IREN,Hardware 3 DDTL,collateral,all Hardware 3 assets incl GPUs for the Microsoft Contract + 100% equity pledge + Microsoft Contract cash flows,primary_EDGAR,0001140361-26-023427,"secured by all its assets, including the GPUs acquired by Hardware 3 to service the Microsoft Contract, a pledge of 100% of the equity interest in Hardware 3, and the cash flows to be generated from the Microsoft Contract"
IREN,Hardware 3 DDTL,recourse,Limited Parent Guarantee (IREN Limited),primary_EDGAR,0001140361-26-023427,"the Parent, as Guarantor, entered into Limited Parent Guarantees with the Collateral Agent"
IREN,Hardware 3 DDTL,rate_hedged,yes (JPMorgan + J. Aron/Goldman),primary_EDGAR,0001140361-26-023427,"Hardware 3 has entered into hedge agreements with respect to the interest rate under the DDTL"
IREN,Hardware 3 (aggregate),aggregate_financing_usd,3600000000,primary_EDGAR,0001140361-26-023427,"aggregate financing of approximately $3.6 billion, comprised of (i) ~$1.5B DDTL and (ii) Notes"
IREN,Hardware 3 DDTL,availability_until,2027-05-29,primary_EDGAR,0001140361-26-023427,"available until May 29, 2027, subject to certain extension"
IREN,Hardware 3 DDTL,covenants,customary affirmative/negative incl restrictions on additional indebtedness,primary_EDGAR,0001140361-26-023427,"customary affirmative and negative covenants, including restrictions on additional in[debtedness]"
TeraWulf,WULF Compute Notes 2030,issuer,WULF Compute LLC (wholly-owned indirect subsidiary),primary_EDGAR,0001104659-25-101866,"WULF Compute LLC, a wholly-owned indirect subsidiary of TeraWulf Inc., completed its previously announced private offering"
TeraWulf,WULF Compute Notes 2030,security,senior secured obligations of WULF Compute and the Guarantors,primary_EDGAR,0001104659-25-101866,"The notes are senior secured obligations of WULF Compute and bear interest at a rate of 7.750% per year"
TeraWulf,WULF Compute Notes 2030,coupon,7.750% semiannual (Apr 15 / Oct 15),primary_EDGAR,0001104659-25-101866,"bear interest at a rate of 7.750% per year payable semiannually in arrears on April 15 and October 15"
TeraWulf,WULF Compute Notes 2030,covenants,restrictions on additional indebtedness/liens/restricted payments/asset sales,primary_EDGAR,0001104659-25-101866,"(iv) create or incur liens; ... (vii) merge, consolidate or transfer or sell all or substantially all of its assets"
