entity,ticker,period,revenue_usd,ebitda_usd,operating_income_usd,net_income_usd,total_debt_usd,annual_interest_expense_usd,annual_debt_service_usd,cash_and_equivalents_usd,is_loss_making,verification_overall,dscr_inputs_usable,primary_source_uri
"CoreWeave, Inc.",CRWV,"FY2025 (fiscal year ended December 31, 2025); all figures fr",5131000000,2408000000,-46000000,-1167000000,21373000000,1229000000,7937000000,3127000000,True,source_backed,True,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000104/crwv-20251231.htm
IREN Limited (formerly Iris Energy Limited),IREN,Flow items: TTM through Q3 FY2026 (twelve months ended March,757074000,278178000,-408443000,158054000,3962088000,39967000,,2213274000,True,source_backed,True,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000026/iren-20260331.htm
TeraWulf Inc. (and subsidiaries),WULF,"FY2025 (fiscal year ended December 31, 2025) — most recent a",168455000,-23109000,-186213000,-661416000,5171111000,80248000,,3266389000,True,source_backed,True,https://www.sec.gov/Archives/edgar/data/1083301/000108330126000031/wulf-20251231.htm
Applied Digital Corporation,APLD,"FY2025 (fiscal year ended May 31, 2025); figures from the FY",144193000,-128820000,-16845000,-231065000,688156000,14739000,25268000,41552000,True,source_backed,True,https://www.sec.gov/Archives/edgar/data/1144879/000114487925000021/apld-20250531.htm
Hut 8 Corp.,HUT,"FY2025 (twelve months ended December 31, 2025); balance-shee",235118000,-135353000,-321994000,-247998000,411418000,30073000,,44914000,True,source_backed,True,https://www.sec.gov/Archives/edgar/data/1964789/000110465926019392/hut-20251231x10k.htm
"CleanSpark, Inc.",CLSK,"FY2025 (fiscal year ended September 30, 2025)",766314000,667284000,318949000,364464000,821156000,11335000,147276000,42966000,False,source_backed,True,https://www.sec.gov/Archives/edgar/data/827876/000119312525297510/clsk-20250930.htm
"MARA Holdings, Inc.",MARA,"FY2025 (fiscal year ended December 31, 2025)",907093000,-588933000,-1224250000,-1311892000,3599927000,48381000,446458000,547132000,True,source_backed,True,https://www.sec.gov/Archives/edgar/data/1507605/000150760526000007/mara-20251231.htm
Nebius Group N.V.,NBIS,"FY2025 (fiscal year ended December 31, 2025); audited 20-F f",529800000,-193800000,-611700000,82500000,4127700000,61500000,,3678100000,True,source_backed,True,https://www.sec.gov/Archives/edgar/data/1513845/000110465926052948/nbis-20251231x20f.htm
"Core Scientific, Inc.",CORZ,"FY2025 (fiscal year ended December 31, 2025)",319019000,-176748000,-245589000,-288616000,1060325000,19030000,15201000,311378000,True,source_backed,True,https://www.sec.gov/Archives/edgar/data/1839341/000162828026013305/R5.htm
Cipher Mining Inc. (now operating as Cipher Digital Inc.),CIFR,"FY2025 (fiscal year ended December 31, 2025)",223942000,-222590000,-421563000,-822244000,3205500000,36559000,,628263000,True,source_backed,True,https://www.sec.gov/Archives/edgar/data/1819989/000181998926000009/cifr-20251231.htm
Bitdeer Technologies Group,BTDR,"FY2025 (fiscal year ended December 31, 2025), reported under",620253000,327839000,159720000,65597000,479260000,68797000,81334000,149352000,False,source_backed,True,https://www.sec.gov/Archives/edgar/data/1899123/000121390026049770/R4.htm
