field,case_type,source_text_snippet,expected_value,source_citation,proposed_test_name,note
onsite_generation_mw,POSITIVE,Five (5) 38 MW Titan 350 ... Five (5) 34.1 MW GE LM2500 ... The purpose of the equipment is to generate power for onsite use only for data centers and computing.,360.5,TCEQ Standard Permit Reg 177263 (Stargate Abilene),test_onsite_mw_sums_named_units_with_onsite_use_marker,sum 5x38 + 5x34.1 = 360.5; 'onsite use only' marker required
onsite_generation_mw,POSITIVE,"a permit to construct an off grid power generation facility ... 117 engines ... more than 2,400 MW",2400.0 (per plant; 2 plants),WV DEP R13-3714/3715 (Adams Fork),test_onsite_mw_parses_off_grid_microgrid_capacity,per-plant; the campus has 2 such permits
onsite_generation_mw,NEGATIVE,"Entergy Louisiana will install nearly 100 miles of 500kV transmission lines ... 2,260 megawatts of combined-cycle","null (grid-connected utility gen, NOT onsite/behind-the-meter)",Entergy/LPSC (Meta Richland),test_onsite_mw_excludes_grid_connected_utility_generation,"utility CCGT with transmission = grid, not onsite -> different field (ratepayer transfer)"
air_permit_id,POSITIVE,the DAQ officially issued air permits R13-3714 and R13-3715,"['R13-3714','R13-3715']",WV DEP DAQ,test_air_permit_id_parses_wv_dep_R13_format,WV DEP format R13-####
air_permit_id,POSITIVE,"Standard Permit Registration 177263 (Project 387309, RN112029079)",177263 (TCEQ); RN112029079,TCEQ,test_air_permit_id_parses_tceq_reg_and_rn,TCEQ Reg # + RN regulated-entity #
air_permit_id,NEGATIVE,ERCOT GIS INR queue position ... Large Load Interconnection Study,"null (ISO queue handle, NOT an air permit)",ERCOT,test_air_permit_id_does_not_match_iso_queue_terms,queue ID is a different handle; must not be parsed as a permit
queue_bypass_or_no_queue,POSITIVE,off grid power generation facility ... operates as a microgrid to power the data center,True (off-grid / queue-bypass),WV DEP (Adams Fork),test_queue_bypass_true_on_off_grid_microgrid,"markers: 'off grid', 'microgrid', 'behind-the-meter', 'onsite use only'"
queue_bypass_or_no_queue,POSITIVE,HB 2014 enabled the off-grid build to sidestep PJM's interconnection queue,True (explicit queue bypass),WV Watch / HB 2014,test_queue_bypass_true_on_explicit_sidestep_language,explicit 'sidestep/bypass the queue'
queue_bypass_or_no_queue,NEGATIVE,interconnection agreement executed ... in-service ... MISO queue position,"False (grid-interconnected, has a queue)",(grid project),test_queue_bypass_false_on_executed_interconnection,executed IA / in-service = real grid connection
permit_litigation_risk,POSITIVE,ran gas turbines WITHOUT an air permit ... Clean Air Act lawsuit (NAACP v. xAI),HIGH (operated pre-permit; active CAA litigation),Earthjustice / NAACP v. xAI,test_litigation_risk_high_on_clean_air_act_suit,"markers: 'lawsuit', 'Clean Air Act', 'without a permit', 'enforcement'"
permit_litigation_risk,POSITIVE,federal lawsuit filed December 2025 challenging the air permits,MED-HIGH (permit challenged in court),WV Highlands (Adams Fork),test_litigation_risk_on_permit_challenge_suit,permit issued but litigated
permit_litigation_risk,NEGATIVE,TCEQ Standard Permit Technical Review ... signed ... no comments received,"LOW (routine permit, no litigation)",TCEQ (Stargate),test_litigation_risk_low_on_routine_permit,"routine approval, no suit -> not a flag"
ratepayer_stranded_asset_transfer,POSITIVE,"Entergy Louisiana received LPSC approval to build ... 2,260 megawatts ... to support Meta's data center",True (utility rate-base -> ratepayer bears stranded-asset risk),LPSC / Entergy (Meta Richland),test_ratepayer_transfer_true_on_utility_ratebase_for_dc_load,utility-built + PUC approval + DC-load purpose = ratepayer transfer
ratepayer_stranded_asset_transfer,NEGATIVE,off grid ... TransGas Development Systems ... project-financed microgrid,"False (off-grid developer/JV equity bears it, NOT ratepayer)",WV DEP (Adams Fork),test_ratepayer_transfer_false_on_off_grid_developer_built,"off-grid keeps stranded-asset on developer/lenders, not ratepayers"
