entity,packet_id,accession,amount_usd,ai_linked,instrument_offering,classification,expected_behavior,source_uri,quote_excerpt
IREN Ltd,adjudication:37309add4db78850,000114036126020669,12770000000,direct/watchlist,JUMBO,needs_human_review,amount $12.77B exceeds IREN largest-ever offering (~$3.00B) -> mis-bind; exclude or rebind to true instrument,https://www.sec.gov/Archives/edgar/data/1878848/000114036126020669/ef20073131_ex99-1.htm,"heduled to settle on May 14, 2026, subject to customary closing conditions."
IREN Ltd,adjudication:89bfe4cb066c25f5,000114036125037753,3606500000,direct/watchlist,JUMBO,needs_human_review,amount $3.61B exceeds IREN largest-ever offering (~$3.00B) -> mis-bind; exclude or rebind to true instrument,https://www.sec.gov/Archives/edgar/data/1878848/000114036125037753/ef20056800_ex99-1.htm,elow and the remainder of the net proceeds from the offering for general co
IREN Ltd,adjudication:f9c8b3d873728ffc,000114036126021285,3000000000,direct/watchlist,IREN:May2026_conv_3.0B,distinct_facility,representative of IREN:May2026_conv_3.0B -> KEEP,https://www.sec.gov/Archives/edgar/data/1878848/000114036126021285/ef20073507_ex4-1.htm,"NTURE , dated as of May 14, 2026, between IREN Limited (ACN 629 842 799), a"
IREN Ltd,adjudication:f8854b8ad4b973b8,000114036126020669,2600000000,direct/watchlist,IREN:May2026_conv_3.0B,same_event,repeat of IREN:May2026_conv_3.0B (already counted) -> COLLAPSE to representative,https://www.sec.gov/Archives/edgar/data/1878848/000114036126020669/ef20073131_ex99-1.htm,um (as compared to the 32.5% conversion premium under the notes) • The issu
IREN Ltd,adjudication:f8fe765b5145930f,000114036126021285,2600000000,direct/watchlist,IREN:conv_other,distinct_facility,representative of IREN:conv_other -> KEEP,https://www.sec.gov/Archives/edgar/data/1878848/000114036126021285/ef20073507_ex99-1.htm,"Morgan Securities LLC, Goldman Sachs & Co. LLC, Citigroup Global Markets In"
IREN Ltd,adjudication:6171824775b4cc58,000114036126020669,2570000000,direct/watchlist,IREN:conv_other,same_event,repeat of IREN:conv_other (already counted) -> COLLAPSE to representative,https://www.sec.gov/Archives/edgar/data/1878848/000114036126020669/ef20073131_ex99-1.htm,"ion, noteholders may require IREN to repurchase their notes for cash. The r"
IREN Ltd,adjudication:8c6cd12ef7cf8503,000114036126020370,2300000000,direct/watchlist,IREN:conv_other,same_event,repeat of IREN:conv_other (already counted) -> COLLAPSE to representative,https://www.sec.gov/Archives/edgar/data/1878848/000114036126020370/ef20072983_ex99-1.htm,ue 2033 (the “notes”) in a private offering to persons reasonably believed 
IREN Ltd,adjudication:cb0ee709a7945d5a,000114036125043803,2150000000,direct/watchlist,IREN:Dec2025_conv_2.0B,distinct_facility,representative of IREN:Dec2025_conv_2.0B -> KEEP,https://www.sec.gov/Archives/edgar/data/1878848/000114036125043803/ny20060080x2_ex99-1.htm,EX-99.1 2 ny20060080x2_ex99-1.htm EXHIBIT 99.1 Exhibit 99.1 IREN Announces 
IREN Ltd,adjudication:0f4124875b886a05,000114036126020370,2000000000,direct/watchlist,IREN:May2026_conv_3.0B,same_event,repeat of IREN:May2026_conv_3.0B (already counted) -> COLLAPSE to representative,https://www.sec.gov/Archives/edgar/data/1878848/000114036126020370/ef20072983_ex99-1.htm,EX-99.1 2 ef20072983_ex99-1.htm EXHIBIT 99.1 Exhibit 99.1 IREN Announces Pr
IREN Ltd,adjudication:ec32adb6ef390462,000114036126020669,2000000000,direct/watchlist,IREN:May2026_conv_3.0B,same_event,repeat of IREN:May2026_conv_3.0B (already counted) -> COLLAPSE to representative,https://www.sec.gov/Archives/edgar/data/1878848/000114036126020669/ef20073131_ex99-1.htm,es”) in a private offering to persons reasonably believed to be qualified i
IREN Ltd,adjudication:c965ffc955369755,000114036125044888,1632400000,direct/watchlist,IREN:conv_other,same_event,repeat of IREN:conv_other (already counted) -> COLLAPSE to representative,https://www.sec.gov/Archives/edgar/data/1878848/000114036125044888/ef20060782_ex99-1.htm,"Citigroup, Goldman Sachs & Co. LLC, J.P. Morgan, Jefferies, Cantor and Mizu"
IREN Ltd,adjudication:69971d3845872391,000114036126023427,1500000000,direct/watchlist,IREN:Hardware3_DDTL_1.5B,distinct_facility,representative of IREN:Hardware3_DDTL_1.5B -> KEEP,https://www.sec.gov/Archives/edgar/data/1878848/000114036126023427/ef20075181_8k.htm,ised of (i) an approximately $1.5 billion delayed draw term loan facility (
IREN Ltd,adjudication:a0d87dabf036b592,000114036125044888,1150000000,direct/watchlist,IREN:Dec2025_conv_2.0B,same_event,repeat of IREN:Dec2025_conv_2.0B (already counted) -> COLLAPSE to representative,https://www.sec.gov/Archives/edgar/data/1878848/000114036125044888/ef20060782_ex4-1.htm,"E , dated as of December 8, 2025, between IREN Limited (ACN 629 842 799), a"
IREN Ltd,adjudication:a2b9962d3bab0db8,000114036125038083,1000000000,direct/watchlist,IREN:Oct2025_conv_1.0B,distinct_facility,representative of IREN:Oct2025_conv_1.0B -> KEEP,https://www.sec.gov/Archives/edgar/data/1878848/000114036125038083/ef20056955_ex4-1.htm,"E , dated as of October 14, 2025, between IREN Limited (ACN 629 842 799), a"
IREN Ltd,adjudication:a920dd09edac1f45,000114036125044095,1000000000,direct/watchlist,IREN:May2026_conv_3.0B,same_event,repeat of IREN:May2026_conv_3.0B (already counted) -> COLLAPSE to representative,https://www.sec.gov/Archives/edgar/data/1878848/000114036125044095/ny20060080x4_ex99-2.htm,"ing Convertible Notes at the time of such Repurchase, and the Repurchase is"
IREN Ltd,adjudication:6d0f910a9193972b,000114036125043803,1000000000,direct/watchlist,IREN:May2026_conv_3.0B,same_event,repeat of IREN:May2026_conv_3.0B (already counted) -> COLLAPSE to representative,https://www.sec.gov/Archives/edgar/data/1878848/000114036125043803/ny20060080x2_ex99-1.htm,"ering NEW YORK, December 1, 2025 (GLOBE NEWSWIRE) – IREN Limited (NASDAQ: I"
