rank_basis,entity,deal_ref,notional_usd,missing,maturity_date,interest_rate_pct,ai_relevant,source_uri,extraction_method,negative_control_flag
entity_risk,Alphabet Inc.,9 distinct obligations,564275000000,rate on $370.5B (6 obligs),,wall_2024_2030=$0.0B,True,(per-obligation; see entity filings),entity-level: prioritize the missing-rate obligations in this issuer's 424B/indenture filings,
entity_risk,EQUINIX INC,20 distinct obligations,141550001225,rate on $1.2B (1 obligs),,wall_2024_2030=$118.2B,True,(per-obligation; see entity filings),entity-level: prioritize the missing-rate obligations in this issuer's 424B/indenture filings,
entity_risk,IREN Ltd,73 distinct obligations,76998700000,rate on $45.5B (40 obligs),,wall_2024_2030=$10.3B,True,(per-obligation; see entity filings),entity-level: prioritize the missing-rate obligations in this issuer's 424B/indenture filings,
entity_risk,TERAWULF INC.,39 distinct obligations,73268300000,rate on $62.9B (33 obligs),,wall_2024_2030=$28.3B,True,(per-obligation; see entity filings),entity-level: prioritize the missing-rate obligations in this issuer's 424B/indenture filings,
entity_risk,Applied Digital Corp.,50 distinct obligations,35559499998,rate on $25.5B (39 obligs),,wall_2024_2030=$15.5B,True,(per-obligation; see entity filings),entity-level: prioritize the missing-rate obligations in this issuer's 424B/indenture filings,
entity_risk,"CoreWeave, Inc.",12 distinct obligations,33359200000,rate on $6.6B (4 obligs),,wall_2024_2030=$2.2B,True,(per-obligation; see entity filings),entity-level: prioritize the missing-rate obligations in this issuer's 424B/indenture filings,
coverage_gap,"CoreWeave, Inc.",edgar:0001769628:000176962826000129:debt_facility:644717ab50aa,8500000000,rate,2032-03-31,,True,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000129/crwv-20260330.htm,EDGAR filing body: locate the notes/indenture maturity+coupon,
coverage_gap,IREN Ltd,edgar:0001878848:000114036126007918:guarantee:5c737a99ad1f,6000000000,maturity+rate,,,True,https://www.sec.gov/Archives/edgar/data/1878848/000114036126007918/ny20064909x1_424b5.htm,424B/FWP prospectus notes table (coupon+maturity per tranche),
coverage_gap,TERAWULF INC.,edgar:0001083301:000110465925101866:debt_facility:e25ce0a42147,3200000000,rate,2025-10-23,,True,https://www.sec.gov/Archives/edgar/data/1083301/000110465925101866/tm2529300d1_ex4-1.htm,424B/FWP prospectus notes table (coupon+maturity per tranche),
coverage_gap,TERAWULF INC.,edgar:0001083301:000110465926043279:debt_facility:562291584866,3200000000,maturity+rate,,,True,https://www.sec.gov/Archives/edgar/data/1083301/000110465926043279/tm2611661d4_ex99-1.htm,424B/FWP prospectus notes table (coupon+maturity per tranche),
