source_id,corpus,source_uri,source_type,parser,document_id,entity_id,project_id,filing_accession,meta_utility_family,meta_jurisdiction,meta_regulator,meta_docket_or_filing,meta_target_type,meta_priority,meta_expected_signal
utility_ratepayer_ga_power_irp_56002,source_documents,https://www.georgiapower.com/content/dam/georgia-power/pdfs/company-pdfs/2025-Integrated-Resource-Plan.pdf,state_puc,text,ga_power_irp_2025_docket_56002,georgia_power,,,"Southern / Georgia Power",Georgia,Georgia Public Service Commission,Docket 56002,IRP and capacity certification,HIGH,"large-load forecast; generation/capacity certification; transmission plan; cost allocation"
utility_ratepayer_ga_power_irp_page,source_documents,https://www.georgiapower.com/about/company/filings/irp.html,state_puc,text,ga_power_irp_2025_landing,georgia_power,,,"Southern / Georgia Power",Georgia,Georgia Public Service Commission,Docket 56002,IRP docket landing page,HIGH,"docket anchor; approval date; large-load reporting references"
utility_ratepayer_entergy_lpsc_u37425,source_documents,https://lpscpubvalence.lpsc.louisiana.gov/portal/PSC/ViewFile?fileId=nDWn%2Fjuc2%2BA%3D,state_puc,text,entergy_lpsc_u37425_order,entergy_louisiana,,,"Entergy Louisiana",Louisiana,Louisiana Public Service Commission,U-37425,Meta/Laidley data-center infrastructure approval,HIGH,"Meta/Laidley load driver; generation/transmission terms; ratepayer protections"
utility_ratepayer_entergy_lpsc_approval_release,source_documents,https://www.entergy.com/news/entergy-louisiana-receives-lpsc-approval-for-major-infrastructure-investments-to-support-metas-data-center-and-improve-reliability,state_puc,text,entergy_lpsc_u37425_approval_release,entergy_louisiana,,,"Entergy Louisiana",Louisiana,Louisiana Public Service Commission,U-37425,approval press release,MEDIUM,"company statement of LPSC approval and project scope"
utility_ratepayer_fpl_rate_case_20250011,source_documents,https://www.psc.state.fl.us/library/FILINGS/2025/14907-2025/14907-2025.pdf,state_puc,text,fpl_20250011_llcs_testimony,fpl,,,"FPL / NextEra",Florida,Florida Public Service Commission,20250011-EI,rate case and large-load tariff,HIGH,"LLCS terms; take-or-pay; incremental generation charge; data-center subsidy risk"
utility_ratepayer_fpl_feia_intervention_20250011,source_documents,https://www.psc.state.fl.us/library/Orders/2025/03850-2025.pdf,state_puc,text,fpl_20250011_feia_intervention,fpl,,,"FPL / NextEra",Florida,Florida Public Service Commission,20250011-EI,FEIA intervention order,MEDIUM,"data-center customer intervention; tariff applicability"
utility_ratepayer_xcel_co_26al0137e,source_documents,https://content.govdelivery.com/accounts/CODORA/bulletins/4136266,state_puc,text,xcel_co_26al0137e_puc_newsletter,xcel_colorado,,,"Xcel Energy",Colorado,Colorado Public Utilities Commission,26AL-0137E,large-load tariff proceeding,HIGH,"data-center large-load tariff; customer-protection terms; proceeding number"
utility_ratepayer_xcel_co_company_release,source_documents,https://newsroom.xcelenergy.com/news/xcel-energy-proposal-protects-customers-from-higher-bills-as-data-center-demand-grows,state_puc,text,xcel_co_large_load_release,xcel_colorado,,,"Xcel Energy",Colorado,Colorado Public Utilities Commission,26AL-0137E,large-load tariff company filing release,MEDIUM,"company statement of customer-protection proposal"
utility_ratepayer_xcel_mn_e022_m25289,source_documents,https://minnesotapuc.legistar.com/View.ashx?GUID=42EEC43C-1428-4C94-A767-64A8F8E2E12F&ID=1407598&M=A,state_puc,text,xcel_mn_e022_m25289_agenda,xcel_minnesota,,,"Xcel Energy",Minnesota,Minnesota Public Utilities Commission,E022/M-25-289,very-large-customer tariff agenda,HIGH,"100 MW threshold; ESA term; exit fee; separate customer class; BYOG questions"
utility_ratepayer_nee_google_gw_campuses,source_documents,https://www.investor.nexteraenergy.com/news-and-events/news-releases/2025/12-08-2025-120206963,company_ir,text,nee_google_gw_campuses,nee_neer,,,"NextEra / NEER",multi-state,Company IR / future state PUC records,NextEra-Google 2025-12-08 release,merchant PPA and generation development target,MEDIUM,"GW-scale data-center campuses; generation and capacity resources"
utility_ratepayer_xcel_co_sb26102_context,source_documents,https://leg.colorado.gov/bills/sb26-102,state_puc,text,colorado_sb26_102_large_load_data_centers,colorado_large_load_data_centers,,,"Xcel Energy",Colorado,Colorado General Assembly,SB26-102,statutory large-load data-center context,LOW,"large-load data-center statutory thresholds; reporting and accountability context"
