entity,facility,field,value,source_tier,source,filing_accession
IREN,May2026 Conv Notes 2033,facility_size_usd,3000000000,primary_press,IREN Prices Upsized $2.6B + $400M greenshoe (settled 2026-05-14),
IREN,May2026 Conv Notes 2033,coupon,1.000% fixed,primary_press,IREN pricing release 2026-05-12,
IREN,May2026 Conv Notes 2033,maturity,2033-12-01,primary_press,IREN pricing release 2026-05-12,
IREN,May2026 Conv Notes 2033,net_proceeds_usd,2960000000,primary_press,IREN pricing release 2026-05-12,
IREN,May2026 Conv Notes 2033,conversion_premium,32.5%,primary_press,IREN pricing release 2026-05-12,
IREN,May2026 Conv Notes 2033,security,senior unsecured convertible,primary_press,IREN pricing release,
IREN,May2026 Conv Notes 2033,collateral,none (unsecured),needs_extraction,confirm from indenture,
IREN,May2026 Conv Notes 2033,recourse,IREN Limited (issuer),primary_EDGAR,indenture dated 2026-05-14,
IREN,Dec2025 Conv Notes,facility_size_usd,2000000000,primary_EDGAR,IREN Prices $2 Billion Convertible Notes,000114036125044095
IREN,Dec2025 Conv Notes,coupon,0.25% (2032) / 1.00% (2033),primary_press,IREN Dec 2025 pricing,
IREN,Dec2025 Conv Notes,maturity,2032-06-01 / 2033-06-01,primary_press,IREN Dec 2025 pricing,
IREN,Dec2025 Conv Notes,conversion_price,~$51.40,primary_press,IREN Dec 2025 pricing,
IREN,Oct2025 Conv Notes,facility_size_usd,1000000000,primary_EDGAR,indenture dated 2025-10-14,
IREN,June2025 Conv Notes 2029,facility_size_usd,500000000,primary_press,IREN June 2025 pricing,
IREN,June2025 Conv Notes 2029,coupon,3.50%,primary_press,IREN June 2025 pricing,
IREN,June2025 Conv Notes 2029,maturity,2029-12-15,primary_press,IREN June 2025 pricing,
IREN,June2025 Conv Notes 2029,conversion_price,~$13.64,primary_press,IREN June 2025 pricing,
IREN,May2026 DDTL,facility_size_usd,1500000000,primary_EDGAR,Hardware 3 Credit Agreement 2026-05-29 8-K,
IREN,May2026 DDTL,type,delayed draw term loan,primary_EDGAR,Hardware 3 Credit Agreement 8-K,
IREN,May2026 DDTL,coupon,needs_extraction,needs_extraction,pull credit agreement,
IREN,May2026 DDTL,collateral,needs_extraction,needs_extraction,pull credit agreement,
IREN,May2026 DDTL,covenant_dscr,needs_extraction,needs_extraction,pull credit agreement,
IREN,TOTAL,real_debt_usd,9000000000,derived,sum of distinct primary-verified facilities,
