surface,name,exposure_usd,graph_roles,resolved_role,resolution_action,resolution_basis,actual_downside_bearer
top_risk_bearers,WML,44390000000,guarantor,intragroup_guarantor,relabel->Wynn Macau Limited; collapse w/ WYNN RESORTS,off-thesis Macau casino intra-group guarantor,"parent Wynn Resorts (intra-group, not 3rd-party)"
top_risk_bearers,"Citizens Bank, N.A.",42252000000,"financier,lender",lender_financier,keep_as_lender,commercial/investment bank -- credit-supply side,lender (loss on default; syndicated share only)
top_risk_bearers,"VENTURE GLOBAL GATOR EXPRESS, LLC",39927000000,guarantor,project_finance_borrower,keep,LNG/energy project-finance SPV -- non-recourse,project lenders + equity sponsors (non-recourse)
top_risk_bearers,"JPMORGAN CHASE BANK, N.A.",21421000000,"financier,lender",lender_financier,keep_as_lender,commercial/investment bank -- credit-supply side,lender (loss on default; syndicated share only)
top_risk_bearers,"Boost Newco Guarantor, LLC",21300000000,guarantor,spv_sponsor_borrower,keep->resolve to parent,acquisition/financing SPV -- resolve to ultimate parent/sponsor,sponsor parent + SPV lenders
top_risk_bearers,"Boost Newco Borrower, LLC",21300000000,guarantor,spv_sponsor_borrower,keep->resolve to parent,acquisition/financing SPV -- resolve to ultimate parent/sponsor,sponsor parent + SPV lenders
top_risk_bearers,NEE,14718976000,guarantor,utility_holdco_alias,merge->NextEra Energy/NEE Capital,NEE = NextEra Energy alias; collapse NEE/NEE Capital/NextEra,ratepayer + NEE equity
top_risk_bearers,RCI Holdings LLC,14450000000,guarantor,offthesis_obligor,flag_non_ai,consumer/casino/cruise/payments/med-device obligor -- NOT AI,obligor equity/creditors (off-thesis -- exclude from AI ranking)
top_risk_bearers,"BANK OF AMERICA, N.A.",12812232000,"financier,lender",lender_financier,keep_as_lender,commercial/investment bank -- credit-supply side,lender (loss on default; syndicated share only)
top_risk_bearers,FEC,12640000000,"financier,lender",loan_series_label,drop,"FEC = Finnish Export Credit loan-series label, not a legal entity; re-attribute to named Original FEC Lenders",none (label artifact)
top_risk_bearers,"NEE Capital, NEE",12522000000,guarantor,regulated_utility,keep->map downside to RATEPAYER,regulated utility w/ AI/DC load -- rate-base recovery,RATEPAYER (rate-base) + utility equity + stranded-asset risk
top_risk_bearers,"UMB Bank, n.a.",10800000000,"financier,lender",lender_financier,keep_as_lender,commercial/investment bank -- credit-supply side,lender (loss on default; syndicated share only)
top_risk_bearers,Carnival plc,10000000000,guarantor,offthesis_obligor,flag_non_ai,consumer/casino/cruise/payments/med-device obligor -- NOT AI,obligor equity/creditors (off-thesis -- exclude from AI ranking)
top_risk_bearers,SUMITOMO MITSUI BANKING CORPORATION,9700000000,"financier,lender",lender_financier,keep_as_lender,commercial/investment bank -- credit-supply side,lender (loss on default; syndicated share only)
top_risk_bearers,GOLDMAN SACHS BANK USA,9400000000,"financier,lender",lender_financier,keep_as_lender,commercial/investment bank -- credit-supply side,lender (loss on default; syndicated share only)
top_risk_bearers,"TORONTO-DOMINION BANK, NEW YORK BRANCH",9050000000,"financier,lender",lender_financier,keep_as_lender,commercial/investment bank -- credit-supply side,lender (loss on default; syndicated share only)
top_risk_bearers,"PNC Bank, National Association",9021000000,"financier,lender",lender_financier,keep_as_lender,commercial/investment bank -- credit-supply side,lender (loss on default; syndicated share only)
top_risk_bearers,"JPMorgan Chase Bank, N.A. and its Affiliates act",9010889000,"financier,lender",placeholder_garble,drop/merge,"prose role-capacity/clause fragment, not a legal entity",none (parsing artifact)
top_risk_bearers,BNP PARIBAS,8900000000,"financier,lender",lender_financier,keep_as_lender,commercial/investment bank -- credit-supply side,lender (loss on default; syndicated share only)
top_risk_bearers,VERTIV CORPORATION,8592672963,guarantor,ai_infra_supplier_obligor,keep_ai_relevant,AI-infra equipment/chip supplier (e.g. Vertiv DC power/cooling) -- AI-RELEVANT corporate obligor,supplier equity/creditors (vendor-financing/guarantee exposure)
top_risk_bearers,"SABRE FINANCIAL BORROWER, LLC",8530000000,"financier,lender",offthesis_obligor,flag_non_ai,consumer/casino/cruise/payments/med-device obligor -- NOT AI,obligor equity/creditors (off-thesis -- exclude from AI ranking)
top_risk_bearers,"Kimco Realty Corporation, Kimco Realty OP, LLC",8270000000,guarantor,reit_obligor,flag_non_ai_unless_dc,net-lease/retail REIT -- off-thesis unless a data-center REIT (Equinix/Digital Realty),REIT equity + creditors (off-thesis)
top_risk_bearers,"PepsiCo, Inc.",8006000000,"buyer,guarantor,offtaker",offthesis_obligor,flag_non_ai,consumer/casino/cruise/payments/med-device obligor -- NOT AI,obligor equity/creditors (off-thesis -- exclude from AI ranking)
top_risk_bearers,"WELLS FARGO BANK, NATIONAL ASSOCIATION",7615000000,"financier,lender",lender_financier,keep_as_lender,commercial/investment bank -- credit-supply side,lender (loss on default; syndicated share only)
top_risk_bearers,Company as obligor or any guarantor,7370000000,guarantor,placeholder_garble,drop/merge,"prose role-capacity/clause fragment, not a legal entity",none (parsing artifact)
top_obligors,SYSCO CORPORATION,66500000000,"borrower,buyer,offtaker",offthesis_obligor,flag_non_ai,consumer/casino/cruise/payments/med-device obligor -- NOT AI,obligor equity/creditors (off-thesis -- exclude from AI ranking)
top_obligors,WYNN RESORTS LTD,44390000000,borrower,offthesis_obligor,flag_non_ai,consumer/casino/cruise/payments/med-device obligor -- NOT AI,obligor equity/creditors (off-thesis -- exclude from AI ranking)
top_obligors,GLOBAL PAYMENTS INC,42600000000,borrower,offthesis_obligor,flag_non_ai,consumer/casino/cruise/payments/med-device obligor -- NOT AI,obligor equity/creditors (off-thesis -- exclude from AI ranking)
top_obligors,KADANT INC,40752000000,borrower,offthesis_obligor,flag_non_ai,consumer/casino/cruise/payments/med-device obligor -- NOT AI,obligor equity/creditors (off-thesis -- exclude from AI ranking)
top_obligors,"ENTERGY TEXAS, INC.",29750000000,"borrower,buyer,counterparty,lessee,o",regulated_utility,keep->map downside to RATEPAYER,regulated utility w/ AI/DC load -- rate-base recovery,RATEPAYER (rate-base) + utility equity + stranded-asset risk
top_obligors,"Entergy Louisiana, LLC",28571000000,"borrower,buyer,counterparty,obligor,",regulated_utility,keep->map downside to RATEPAYER,regulated utility w/ AI/DC load -- rate-base recovery,RATEPAYER (rate-base) + utility equity + stranded-asset risk
top_obligors,"Entergy Arkansas, LLC",28000000000,"borrower,buyer,counterparty,offtaker",regulated_utility,keep->map downside to RATEPAYER,regulated utility w/ AI/DC load -- rate-base recovery,RATEPAYER (rate-base) + utility equity + stranded-asset risk
top_obligors,"Entergy Mississippi, LLC",28000000000,"borrower,buyer,counterparty,offtaker",regulated_utility,keep->map downside to RATEPAYER,regulated utility w/ AI/DC load -- rate-base recovery,RATEPAYER (rate-base) + utility equity + stranded-asset risk
top_obligors,Entergy Corporation,28000000000,"borrower,counterparty",regulated_utility,keep->map downside to RATEPAYER,regulated utility w/ AI/DC load -- rate-base recovery,RATEPAYER (rate-base) + utility equity + stranded-asset risk
top_obligors,NEXTERA ENERGY INC,27240976000,"borrower,issuer,lessee",regulated_utility,keep->map downside to RATEPAYER,regulated utility w/ AI/DC load -- rate-base recovery,RATEPAYER (rate-base) + utility equity + stranded-asset risk
top_obligors,"Venture Global, Inc.",23259000000,"borrower,issuer",project_finance_borrower,keep,LNG/energy project-finance SPV -- non-recourse,project lenders + equity sponsors (non-recourse)
top_obligors,GEORGIA POWER COMPANY,22972694000,"borrower,buyer,counterparty,offtaker",regulated_utility,keep->map downside to RATEPAYER,regulated utility w/ AI/DC load -- rate-base recovery,RATEPAYER (rate-base) + utility equity + stranded-asset risk
top_obligors,SOUTHERN CO,22972694000,borrower,regulated_utility,keep->map downside to RATEPAYER,regulated utility w/ AI/DC load -- rate-base recovery,RATEPAYER (rate-base) + utility equity + stranded-asset risk
top_obligors,Xcel Energy Inc.,19503000000,"borrower,buyer,offtaker",regulated_utility,keep->map downside to RATEPAYER,regulated utility w/ AI/DC load -- rate-base recovery,RATEPAYER (rate-base) + utility equity + stranded-asset risk
top_obligors,"XCEL ENERGY INC., a Minnesota corporation",19500000000,borrower,regulated_utility,keep->map downside to RATEPAYER,regulated utility w/ AI/DC load -- rate-base recovery,RATEPAYER (rate-base) + utility equity + stranded-asset risk
top_obligors,"VENTURE GLOBAL PLAQUEMINES LNG, LLC",18559000000,"borrower,issuer",project_finance_borrower,keep,LNG/energy project-finance SPV -- non-recourse,project lenders + equity sponsors (non-recourse)
top_obligors,GENERAL MOTORS LLC,18000000000,"borrower,buyer,offtaker",offthesis_obligor,flag_non_ai,consumer/casino/cruise/payments/med-device obligor -- NOT AI,obligor equity/creditors (off-thesis -- exclude from AI ranking)
top_obligors,"Vail Resorts, Inc.",14400000000,"borrower,buyer,offtaker",offthesis_obligor,flag_non_ai,consumer/casino/cruise/payments/med-device obligor -- NOT AI,obligor equity/creditors (off-thesis -- exclude from AI ranking)
top_obligors,ROYAL CARIBBEAN CRUISES LTD.,13545000000,"borrower,buyer,offtaker",offthesis_obligor,flag_non_ai,consumer/casino/cruise/payments/med-device obligor -- NOT AI,obligor equity/creditors (off-thesis -- exclude from AI ranking)
top_obligors,BECTON DICKINSON & CO,11000000000,"borrower,issuer",offthesis_obligor,flag_non_ai,consumer/casino/cruise/payments/med-device obligor -- NOT AI,obligor equity/creditors (off-thesis -- exclude from AI ranking)
top_obligors,Sabre Corp,10940000000,borrower,offthesis_obligor,flag_non_ai,consumer/casino/cruise/payments/med-device obligor -- NOT AI,obligor equity/creditors (off-thesis -- exclude from AI ranking)
top_obligors,W. P. Carey Inc.,10683000000,"borrower,issuer",reit_obligor,flag_non_ai_unless_dc,net-lease/retail REIT -- off-thesis unless a data-center REIT (Equinix/Digital Realty),REIT equity + creditors (off-thesis)
top_obligors,Carnival Holdings (Bermuda) II Limited,10000000000,borrower,offthesis_obligor,flag_non_ai,consumer/casino/cruise/payments/med-device obligor -- NOT AI,obligor equity/creditors (off-thesis -- exclude from AI ranking)
top_obligors,KIMCO REALTY CORP,8580000000,"borrower,issuer,lessee",reit_obligor,flag_non_ai_unless_dc,net-lease/retail REIT -- off-thesis unless a data-center REIT (Equinix/Digital Realty),REIT equity + creditors (off-thesis)
