risk_bearer_value,count,resolved_role,is_actual_bearer,confidence,note,example_quote
candidate: noteholders,323,bondholder,YES,high,actual bearer of note loss,"osing NEW YORK, October 30, 2025 – Omnicom Group Inc. (“Omnicom”) (NYS"
lenders party thereto,277,lender,YES,high,actual bearer of credit-facility loss,e Certificate – Foreign Lenders (Partnerships) 1 BRIDGE LOAN CREDIT AG
noteholders,154,bondholder,YES,high,actual bearer of note loss,"Notes, the “Notes”) pursuant to Alphabet’s registration statement on F"
unknown,125,unresolved,no,high,flag for resolution,"our financial condition, which could adversely impact the value of you"
candidate: lenders party thereto,64,lender,YES,high,actual bearer of credit-facility loss,in blank); (d) all Pledged Debt owing to any Credit Party that is evid
"inferred: U.S. Bank Trust Company, National Association",19,trustee,no,high,CONFLATION: trustee is agent NOT bearer,"ssued by FedEx under the indenture, dated as of October 23, 2015 (the "
"inferred: Wilmington Trust, National Association",12,trustee,no,high,CONFLATION: trustee is agent NOT bearer,"4. On March 31, 2021, we issued the Outstanding Notes under that certa"
"inferred: The Bank of New York Mellon Trust Company, N.A",11,trustee,no,high,CONFLATION: trustee is agent NOT bearer,e “20 Notes”) and $ aggregate principal amount of % Senior Notes due 2
"JPMorgan Chase Bank, N.A.",10,lender_bank,YES_partial,med,named bank lender; confirm vs agent,“ Existing Lease Agreement ” has the meaning given to such term in the
"candidate: JPMorgan Chase Bank, N.A.",9,lender_bank,YES_partial,med,named bank lender; confirm vs agent,"t (in such capacities, the “Administrative Agent”). Capitalized terms "
"Bank of America, N.A.",7,lender_bank,YES_partial,med,named bank lender; confirm vs agent,"rporation (the “ Borrower ”), and the banks, financial institutions an"
"inferred: Citibank, N.A",6,lender_bank,YES_partial,med,named bank lender; confirm vs agent,regate principal amount of $500 million to be made available in U.S. d
Inc.,5,other,review,med,manual assignment,sue the notes under a supplemental indenture (the “Supplemental Indent
"NIKE, Inc., Bank of America, N.A.",4,lender_bank,YES_partial,med,named bank lender; confirm vs agent,"edit Facility On March 6, 2026, NIKE, Inc. (the “Company”) entered int"
"candidate: Parent, Eaton Capital, the other borrowers and guarantors party thereto and Citibank",3,lender_bank,YES_partial,med,named bank lender; confirm vs agent,"nc., a Delaware corporation, for the aggregate consideration set forth"
candidate: Sumitomo Mitsui Banking Corporation,3,lender_bank,YES_partial,med,named bank lender; confirm vs agent,"CSF, the “Company”, “our” or “we”) announced today that it has increas"
inferred: The Bank of New York Mellon,3,trustee,no,high,CONFLATION: trustee is agent NOT bearer,"ber 1, 2015 (the “Execution Date”), as it has heretofore been and may "
"PepsiCo, Inc.",3,other,review,med,manual assignment,"Bank Trust Company, National Association, as trustee (the “trustee”). "
"Financing, Inc.",3,other,review,med,manual assignment,s 7.000% First Lien Notes due 2034 (the “Notes”); and • in connection 
"candidate: Wells Fargo Bank, National Association",3,lender_bank,YES_partial,med,named bank lender; confirm vs agent,e Closing Date were used to repay the Existing Term Loan B Facility an
Company,3,issuer_affiliate,no,med,likely issuer/affiliate not external bearer,greement (the “Amended Credit Facility”) amending and restating the Fo
