term_id,entity,facility,facility_size_usd,borrower,purpose,draw_availability_until,maturity_date,rate_type,rate_index,rate_spread_bps,fixed_coupon_pct,undrawn_fee_bps,collateral,recourse,covenant_dscr,covenant_contract_realization_ratio,source_tier,verification_status,source,source_uri,filing_accession,source_quote
applied-digital:apld-computeco-2-notes-2031,Applied Digital,APLD ComputeCo 2 Notes 2031,2150000000,,,,,fixed,,,6.750,,,,,,primary_edgar,primary_verified,Pricing of $2.15B Senior Secured Notes (Polaris Forge 2),,000149315226008772,facility_size_usd: 2150000000 | coupon: 6.750% fixed | maturity: 2031 | issue_price: 98% | security: senior secured | issuer: APLD ComputeCo 2 LLC (subsidiary)
applied-digital:apld-computeco-notes,Applied Digital,APLD ComputeCo Notes,2350000000,,,,,,,,,,,,,,primary_press,unverified_external,Proposed Offering of $2.35B Senior Secured Notes,,,facility_size_usd: 2350000000 | security: senior secured | status: proposed/may overlap with the $2.15B priced deal
cleanspark:nov2025-conv-notes-2032,CleanSpark,Nov2025 Conv Notes 2032,1150000000,,,,,fixed,,,0.00,,none (unsecured),,,,primary_edgar,unverified_or_secondary,Upsized $1.15B Zero-Coupon Convertible (closed Nov 2025),,000119312525280105,facility_size_usd: 1150000000 | coupon: 0.00% (zero-coupon) | maturity: 2032 | net_proceeds_usd: 1130000000 | security: senior unsecured convertible | collateral: none (unsecured)
coreweave:2031-notes,CoreWeave,2031 Notes,2750000000,,,,2031-10,fixed,,,9.75,,,,,,press_not_verified,unverified_external,press (recommend pull notes 8-K/424B),,,facility_size_usd: 2750000000 | coupon: 9.75% senior unsecured | maturity: 2031-10
coreweave:ddtl-3-0,CoreWeave,DDTL 3.0,2600000000,CCAC VII (SPV); Parent guarantee,finance capex for a customer contract incl GPU servers,2026-07,2030-08-21,floating,SOFR,400,,50,substantially all assets of CCAC VII + 100% equity pledge (GPU-backed),Parent (CoreWeave) unconditional guarantee via Parent Guarantee and Pledge Agreement 2025-07-28,>= 1.40x beginning April 2027 (NO coverage test during ramp),>= 0.85x monthly (actual billed/received vs projected contracted cash flows trailing 3mo),primary_8k,primary_verified,EDGAR 0001769628-25-000033 (filed 2025-07-28),,0001769628-25-000033,facility_size_usd: 2600000000 | borrower: CCAC VII (SPV); Parent guarantee | purpose: finance capex for a customer contract incl GPU servers | draw_availability_until: 2026-07 | maturity: 2030-08-21 | rate_floating: daily compounded SOFR + 4.00% (0% floor); base+3.00% alt | undrawn_fee: 0.50% per annum on avg daily undrawn | collateral: substantially all assets of CCAC VII + 100% equity pledge (GPU-backed) | recourse: Parent (CoreWeave) unconditional guarantee via Parent Guarantee and Pledge Agreement 2025-07-28 | covenant_dscr: >= 1.40x beginning April 2027 (NO coverage test during ramp) | covenant_contract_realization_ratio: >= 0.85x monthly (actual billed/received vs projected contracted cash flows trailing 3mo)
coreweave:ddtl-4-0,CoreWeave,DDTL 4.0,8500000000,,,,2032-03,,,,,,,,,,press_not_verified,unverified_external,StockTitan/press (recommend pull 8-K),,,facility_size_usd: 8500000000 | secured: senior secured | maturity: 2032-03
hut-8:hut-8-dc-notes-2042,Hut 8,Hut 8 DC Notes 2042,3250000000,,,,,fixed,,,6.192,,needs_extraction,needs_extraction (SPV issuer),,,primary_edgar,unverified_or_secondary,Hut 8 Announces Pricing of $3.25B (April 2026),,tm2612880,facility_size_usd: 3250000000 | coupon: 6.192% fixed | maturity: 2042 | security: senior secured | issuer: Hut 8 DC LLC (indirect wholly-owned subsidiary) | recourse: needs_extraction (SPV issuer) | collateral: needs_extraction
iren:dec2025-conv-notes,IREN,Dec2025 Conv Notes,2000000000,,,,2032-06-01,fixed,,,0.25,,,,,,primary_edgar,unverified_external,IREN Prices $2 Billion Convertible Notes,,000114036125044095,facility_size_usd: 2000000000 | coupon: 0.25% (2032) / 1.00% (2033) | maturity: 2032-06-01 / 2033-06-01 | conversion_price: ~$51.40
iren:june2025-conv-notes-2029,IREN,June2025 Conv Notes 2029,500000000,,,,2029-12-15,fixed,,,3.50,,,,,,primary_press,unverified_external,IREN June 2025 pricing,,,facility_size_usd: 500000000 | coupon: 3.50% | maturity: 2029-12-15 | conversion_price: ~$13.64
iren:may2026-conv-notes-2033,IREN,May2026 Conv Notes 2033,3000000000,,,,2033-12-01,fixed,,,1.000,,none (unsecured),IREN Limited (issuer),,,primary_press,unverified_external,IREN Prices Upsized $2.6B + $400M greenshoe (settled 2026-05-14),,,facility_size_usd: 3000000000 | coupon: 1.000% fixed | maturity: 2033-12-01 | net_proceeds_usd: 2960000000 | conversion_premium: 32.5% | security: senior unsecured convertible | collateral: none (unsecured) | recourse: IREN Limited (issuer)
iren:may2026-ddtl,IREN,May2026 DDTL,1500000000,,,,,,,,,,needs_extraction,,needs_extraction,,primary_edgar,unverified_or_secondary,Hardware 3 Credit Agreement 2026-05-29 8-K,,,facility_size_usd: 1500000000 | type: delayed draw term loan | coupon: needs_extraction | collateral: needs_extraction | covenant_dscr: needs_extraction
iren:oct2025-conv-notes,IREN,Oct2025 Conv Notes,1000000000,,,,,,,,,,,,,,primary_edgar,primary_verified,indenture dated 2025-10-14,,,facility_size_usd: 1000000000
mara-holdings:zero-coupon-conv-2030,MARA Holdings,Zero-Coupon Conv 2030,,,,,,,,,,,,,,,needs_extraction,unverified_or_secondary,separate zero-coupon due 2030-03-01,,,facility_size_usd: needs_extraction
mara-holdings:zero-coupon-conv-2031,MARA Holdings,Zero-Coupon Conv 2031,850000000,,,,2031-06-01,fixed,,,0.00,,,,,,primary_press,unverified_external,Completed $850M 0.00% conv due 2031 (2024-12-04),,,facility_size_usd: 850000000 | coupon: 0.00% (zero-coupon) | maturity: 2031-06-01
nebius:conv-notes-2029-2031,Nebius,Conv Notes 2029/2031,1000000000,,,,,,,,,,,,,,primary_press,unverified_external,$1B convertible notes private placement,,,facility_size_usd: 1000000000 | tranches: $500M 2.00% due 2029 / $500M 3.00% due 2031 | accretion: 120% (2029) / 125% (2031) of principal at maturity
nebius:conv-notes-2030-2032,Nebius,Conv Notes 2030/2032,2750000000,,,,,,,,,,,,,,primary_press,unverified_external,Upsized $2.75B convertible senior notes,,,facility_size_usd: 2750000000 | tranches: $1.375B 1.00% due 2030 / $1.375B 2.75% due 2032
