target_id,utility_family,regulated_entity,jurisdiction,regulator,docket_or_filing,target_type,source_uri,source_authority,verified_signal,expected_extraction_fields,ratepayer_relevance,priority,production_disposition
utility_ratepayer_ga_power_irp_56002,Southern / Georgia Power,Georgia Power Company,Georgia,Georgia Public Service Commission,Docket 56002,IRP and capacity certification,https://www.georgiapower.com/content/dam/georgia-power/pdfs/company-pdfs/2025-Integrated-Resource-Plan.pdf,official_company_filing,"Georgia Power 2025 IRP identifies Docket No. 56002 and a large-load-driven growth forecast through 2030/2031.","load_mw; large_load_customer_pipeline; generation_certification_requests; transmission_plan; cost_allocation; quarterly_large_load_reporting","Tests whether Georgia rate-base generation/transmission additions are driven by data-center or other large-load demand.",HIGH,Acquire and extract before quantifying Georgia ratepayer downside.
utility_ratepayer_ga_power_irp_page,Southern / Georgia Power,Georgia Power Company,Georgia,Georgia Public Service Commission,Docket 56002,IRP docket landing page,https://www.georgiapower.com/about/company/filings/irp.html,official_company_page,"Georgia Power page links the 2025 IRP to Georgia PSC Docket #56002 and notes PSC approval on July 15 2025.","docket_link; approval_date; large_load_reporting; transmission_plan_summary","Provides stable public landing page for Docket 56002 acquisition and status monitoring.",HIGH,Use as source-catalog seed and docket-navigation anchor.
utility_ratepayer_entergy_lpsc_u37425,Entergy Louisiana,Entergy Louisiana LLC,Louisiana,Louisiana Public Service Commission,U-37425,Meta/Laidley data-center infrastructure approval,https://lpscpubvalence.lpsc.louisiana.gov/portal/PSC/ViewFile?fileId=nDWn%2Fjuc2%2BA%3D,official_regulator_order,"LPSC order text ties the application to significant new load from a Meta/Laidley data center in Richland Parish.","customer_or_load_driver; load_mw; generation_projects; transmission_projects; cost_of_service; customer_protection; stranded_cost_terms","Core source for whether Richland Parish Meta infrastructure costs are insulated from other Entergy Louisiana customers.",HIGH,Acquire and extract terms before treating Meta/Entergy as ratepayer-protected or ratepayer-exposed.
utility_ratepayer_entergy_lpsc_approval_release,Entergy Louisiana,Entergy Louisiana LLC,Louisiana,Louisiana Public Service Commission,U-37425,approval press release,https://www.entergy.com/news/entergy-louisiana-receives-lpsc-approval-for-major-infrastructure-investments-to-support-metas-data-center-and-improve-reliability,official_company_release,"Entergy says LPSC approved major infrastructure investments tied to Meta's Richland Parish data center.","approval_date; project_scope; generation_facilities; transmission_scope; stated_customer_benefits","Company framing source to compare against LPSC order and intervenor claims.",MEDIUM,Use as secondary source; regulator order remains primary.
utility_ratepayer_fpl_rate_case_20250011,FPL / NextEra,Florida Power & Light Company,Florida,Florida Public Service Commission,20250011-EI,rate case and large-load tariff,https://www.psc.state.fl.us/library/FILINGS/2025/14907-2025/14907-2025.pdf,official_regulator_filing,"FPSC filing discusses FPL Large Load Contract Service terms and risk of subsidizing generation for predominantly data-center large loads.","tariff_threshold_mw; load_factor; take_or_pay_pct; incremental_generation_charge; settlement_changes; customer_subsidy_risk","Key source for Florida data-center large-load cost-shift protections and residual ratepayer risk.",HIGH,Extract LLCS terms and compare as-filed vs settlement/proposed changes.
utility_ratepayer_fpl_feia_intervention_20250011,FPL / NextEra,Florida Power & Light Company,Florida,Florida Public Service Commission,20250011-EI,FEIA intervention order,https://www.psc.state.fl.us/library/Orders/2025/03850-2025.pdf,official_regulator_order,"FPSC order identifies FEIA companies with data centers in FPL territory and the proposed LLCS tariff.","intervenor_identity; data_center_customer_status; tariff_applicability; confidential_service_agreements","Confirms data-center customer representation inside FPL rate case.",MEDIUM,Use to bind data-center customer class to the broader FPL rate case.
utility_ratepayer_xcel_co_26al0137e,Xcel Energy,Public Service Company of Colorado,Colorado,Colorado Public Utilities Commission,26AL-0137E,large-load tariff proceeding,https://content.govdelivery.com/accounts/CODORA/bulletins/4136266,official_regulator_newsletter,"Colorado PUC newsletter identifies Proceeding 26AL-0137E for high-demand projects such as large-scale data centers.","threshold_mw; contract_term_years; dedicated_upgrade_costs; generation_capacity_costs; hearing_status; intervention_deadlines","Key Colorado ratepayer-protection proceeding for data-center load.",HIGH,Acquire full docket filings through Colorado eFiling using proceeding number.
utility_ratepayer_xcel_co_company_release,Xcel Energy,Public Service Company of Colorado,Colorado,Colorado Public Utilities Commission,26AL-0137E,large-load tariff company filing release,https://newsroom.xcelenergy.com/news/xcel-energy-proposal-protects-customers-from-higher-bills-as-data-center-demand-grows,official_company_release,"Xcel says the Colorado proposal is intended to prevent existing customers from subsidizing data centers and other large users.","proposal_summary; contract_commitment; infrastructure_cost_recovery; customer_protection_claims","Secondary company framing source for the Colorado PUC proceeding.",MEDIUM,Use to cross-check regulator docket and tariff sheets.
utility_ratepayer_xcel_mn_e022_m25289,Xcel Energy,Northern States Power Company d/b/a Xcel Energy,Minnesota,Minnesota Public Utilities Commission,E022/M-25-289,very-large-customer tariff agenda,https://minnesotapuc.legistar.com/View.ashx?GUID=42EEC43C-1428-4C94-A767-64A8F8E2E12F&ID=1407598&M=A,official_regulator_agenda,"MPUC agenda lists Xcel tariff issues including 100 MW threshold, ESA term length, exit fee, and separate customer class.","threshold_mw; minimum_esa_term; minimum_billing_demand; exit_fee; separate_customer_class; BYOG_or_clean_capacity_directive","Minnesota source for whether data-center tariff protects general ratepayers.",HIGH,Acquire docket record and final order for extraction.
utility_ratepayer_nee_google_gw_campuses,NextEra / NEER,NextEra Energy Inc. / NextEra Energy Resources,multi-state,Company IR / future state PUC records,NextEra-Google 2025-12-08 release,merchant PPA and generation development target,https://www.investor.nexteraenergy.com/news-and-events/news-releases/2025/12-08-2025-120206963,official_company_ir,"NextEra and Google announce multiple GW-scale data-center campuses with accompanying generation and capacity resources.","campus_count; capacity_gw; generation_resource_type; ppa_or_capacity_structure; jurisdiction_if_named","Merchant and regulated boundary source for NEER/Google data-center energy infrastructure exposure.",MEDIUM,Use as acquisition lead; require jurisdictional PUC/IRP records before ratepayer attribution.
