entity,facility,field,value,source_tier,source,filing_accession
Nebius,Conv Notes 2030/2032,facility_size_usd,2750000000,primary_press,Upsized $2.75B convertible senior notes,
Nebius,Conv Notes 2030/2032,tranches,$1.375B 1.00% due 2030 / $1.375B 2.75% due 2032,primary_press,Nebius pricing release,
Nebius,Conv Notes 2029/2031,facility_size_usd,1000000000,primary_press,$1B convertible notes private placement,
Nebius,Conv Notes 2029/2031,tranches,$500M 2.00% due 2029 / $500M 3.00% due 2031,primary_press,Nebius placement release,
Nebius,Conv Notes 2029/2031,accretion,120% (2029) / 125% (2031) of principal at maturity,primary_press,Nebius placement release,
Nebius,metric_questionable,note,"$3.16B + $1.15B packets exceed/mismatch Nebius's largest $2.75B series -- refs-check",needs_extraction,decisions CSV,
Nebius,TOTAL,real_debt_usd,3750000000,derived,$2.75B + $1.0B convertibles,
MARA Holdings,Zero-Coupon Conv 2031,facility_size_usd,850000000,primary_press,Completed $850M 0.00% conv due 2031 (2024-12-04),
MARA Holdings,Zero-Coupon Conv 2031,coupon,0.00% (zero-coupon),primary_press,MARA pricing release,
MARA Holdings,Zero-Coupon Conv 2031,maturity,2031-06-01,primary_press,MARA pricing release,
MARA Holdings,Zero-Coupon Conv 2030,facility_size_usd,needs_extraction,needs_extraction,separate zero-coupon due 2030-03-01,
MARA Holdings,DISAMBIGUATION,note,"MARA Holdings (miner) != Marathon Petroleum Corp (oil, $5.0B sep entity in metric)",primary_EDGAR,decisions CSV,
MARA Holdings,TOTAL,real_metric_captured_debt_usd,3520000000,derived,3 MARA Holdings packets (excl Marathon Petroleum),
