entity,instrument,maturity,coupon_or_rate,floating_benchmark,spread_bps,undrawn_fee,amortization,timing_wall_year,accession,source_quote
CoreWeave,DDTL 3.0,2030-08-21,floating,daily compounded SOFR,400,0.50% per annum,amortizes from 2026,2030,0001769628-25-000033,"4.00% plus the daily compounded SOFR ... undrawn fees ... 0.50% per annum"
TeraWulf,WULF Compute Notes,2030,7.750% fixed,,,,bullet,2030,0001104659-25-101866,"7.750% per year payable semiannually in arrears on April 15 and October 15"
TeraWulf,Flash Compute JV Notes,2030,7.250% fixed,,,,bullet,2030,0001104659-25-124839,"7.250% per year payable semi-annually in arrears on June 30 and December 31"
IREN,Hardware 3 DDTL,2031,floating,term SOFR,225,0.40% per annum,amortizing schedule,2031,0001140361-26-023427,"term SOFR plus a margin of 2.25% ... commitment fee of 0.40% per annum ... amortize in accordance with applicable amortization schedules"
CoreWeave,DDTL 4.0,2032,floating (senior secured),SOFR,,,amortizing,2032,press_NOT_verified,"$8.5B senior secured DDTL 4.0 due March 2032 (press; pull 8-K)"
CoreWeave,Senior Notes 2031,2031,9.75% fixed (unsecured),,,,bullet,2031,press_NOT_verified,"$2.75B 9.75% senior unsecured notes due Oct 2031 (press; pull 424B)"
Applied Digital,APLD ComputeCo 2 Notes,2031,6.750% fixed,,,issue price 98%,bullet,2031,000149315226008772,"6.750% senior secured notes due 2031 at an issue price of 98%"
IREN,May2026 Conv Notes,2033,1.000% fixed,,,,convert/bullet,2033,0001140361-26-021285,"1.00% convertible senior notes due 2033 ... 32.5% conversion premium"
IREN,Dec2025 Conv Notes,2032,0.25%/1.00% fixed,,,,convert/bullet,2032,0001140361-25-044095,"0.25% (2032) / 1.00% (2033) convertible senior notes"
CleanSpark,Conv Notes,2032,0.00% (zero-coupon),,,,convert/bullet,2032,0001193125-25-280105,"0.00% Convertible Senior Notes due 2032 ... senior unsecured"
Nebius,Conv Notes 2030,2030,1.00% fixed,,,,convert/bullet,2030,0001104659-25-089969,"1.00% Convertible Senior Notes due 2030"
Nebius,Conv Notes 2032,2032,2.75% fixed,,,,convert/bullet,2032,0001104659-25-089969,"2.75% Convertible Senior Notes due 2032"
MARA Holdings,Zero-Coupon Conv,2031,0.00% (zero-coupon),,,,convert/bullet,2031,0001493152-24-048704,"0.00% convertible senior notes due 2031 ... will not bear regular interest"
Hut 8,Hut 8 DC Notes,2042,6.192% fixed,,,,bullet,2042,0001104659-26-053247,"6.192% per annum, payable semi-annually in arrears on May 15 and November 15"
